Age,Income,CreditScore,Gender,LoanAmount,Approved
46,41873.0,675,Male,23453.0,1
37,102936.0,631,Male,42121.0,1
23,86644.0,843,Female,21297.0,0
39,112819.0,839,Female,40653.0,0
38,107815.0,674,Male,30480.0,1
51,77592.0,775,Male,21716.0,0
60,82317.0,729,Male,33136.0,1
34,37451.0,836,Male,17555.0,1
53,113750.0,623,Male,64229.0,1
50,100994.0,837,Male,40485.0,1
51,129963.0,655,Female,76202.0,1
39,85015.0,797,Male,49024.0,1
34,117858.0,750,Female,64354.0,0
64,68252.0,620,Female,27300.0,0
42,30000.0,636,Male,7691.0,1
51,92637.0,818,Female,26602.0,0
42,80833.0,681,Male,37108.0,1
38,68729.0,667,Female,25341.0,1
61,117453.0,681,Male,30387.0,1
40,125206.0,688,Female,49030.0,1
36,97636.0,766,Female,20208.0,1
30,90437.0,722,Male,44636.0,1
31,96568.0,729,Male,22156.0,1
52,78677.0,781,Female,35534.0,0
44,109065.0,846,Female,56409.0,1
51,56516.0,796,Male,14302.0,0
54,68173.0,827,Female,27777.0,0
30,75218.0,794,Male,38484.0,1
22,108534.0,710,Female,33022.0,0
56,87438.0,849,Male,23186.0,1
32,129010.0,733,Female,43183.0,1
55,115083.0,797,Male,48551.0,1
37,74973.0,708,Male,32247.0,1
30,110837.0,773,Male,27970.0,1
53,84795.0,675,Male,32479.0,0
36,106830.0,697,Female,32830.0,0
33,116294.0,633,Male,62428.0,1
54,122868.0,825,Female,39985.0,1
35,100051.0,644,Male,53575.0,1
29,135003.0,847,Male,50144.0,0
29,106033.0,751,Male,52023.0,1
48,98376.0,826,Male,39746.0,0
33,87437.0,651,Male,39240.0,1
22,79217.0,701,Male,28371.0,0
64,105497.0,697,Male,53517.0,1
61,97519.0,812,Male,36089.0,1
63,101521.0,725,Female,38881.0,0
32,107019.0,808,Female,43564.0,1
60,101415.0,639,Male,54027.0,0
64,145332.0,693,Male,67398.0,1
52,81801.0,629,Female,27785.0,1
38,105807.0,742,Female,49531.0,1
54,89308.0,835,Female,40811.0,0
53,33463.0,653,Male,19155.0,1
50,90163.0,808,Female,48379.0,1
42,71588.0,839,Female,32857.0,0
42,93329.0,774,Female,31415.0,1
61,94340.0,659,Female,48286.0,1
44,104634.0,812,Male,45001.0,1
27,81746.0,746,Male,48566.0,0
43,84873.0,652,Female,25377.0,0
59,112517.0,815,Female,26089.0,0
58,74774.0,690,Male,17045.0,1
29,49039.0,756,Male,22362.0,1
62,98926.0,763,Male,56952.0,0
56,121771.0,752,Male,24448.0,1
32,112230.0,717,Female,55027.0,1
45,99387.0,743,Female,45999.0,0
42,126266.0,770,Male,62239.0,1
23,122050.0,662,Male,41761.0,1
61,86727.0,733,Male,45809.0,1
40,101188.0,708,Male,22047.0,1
60,102262.0,804,Female,51353.0,1
49,92831.0,798,Female,28483.0,0
38,123356.0,632,Female,48200.0,0
27,91196.0,747,Male,48248.0,1
40,82493.0,771,Female,25453.0,1
59,30211.0,758,Female,8280.0,1
49,75042.0,671,Female,35459.0,1
23,62115.0,636,Male,25676.0,0
59,93990.0,784,Male,38138.0,0
58,63658.0,632,Male,19270.0,0
25,110217.0,809,Male,23581.0,0
43,122711.0,838,Male,44680.0,1
47,94221.0,703,Male,22860.0,1
64,70400.0,716,Male,39592.0,1
57,102160.0,725,Female,22118.0,0
34,142337.0,715,Male,53043.0,1
53,134562.0,627,Male,29725.0,1
38,59848.0,675,Female,14257.0,1
62,58920.0,840,Female,27312.0,0
57,52512.0,723,Female,24095.0,1
40,66576.0,702,Female,14195.0,1
56,101290.0,817,Female,20304.0,0
61,81083.0,663,Female,18773.0,1
49,74033.0,807,Male,37402.0,1
22,120978.0,722,Male,52484.0,0
63,108252.0,731,Male,23301.0,1
39,52382.0,788,Male,20704.0,0
61,119543.0,768,Male,57956.0,0
54,107651.0,833,Female,58948.0,0
33,108207.0,661,Female,62069.0,0
29,80738.0,821,Female,26722.0,0
45,90317.0,821,Male,22971.0,0
37,45682.0,776,Female,13466.0,0
25,116675.0,827,Female,59559.0,0
59,70027.0,812,Male,41217.0,1
48,73234.0,764,Female,28309.0,1
30,72896.0,649,Male,23483.0,1
37,140010.0,645,Male,52038.0,0
33,78282.0,800,Female,25201.0,0
52,118557.0,744,Male,35875.0,0
45,94400.0,638,Male,41300.0,1
35,74272.0,672,Female,15322.0,1
46,69740.0,704,Female,21188.0,1
55,79279.0,636,Male,36829.0,1
24,93138.0,793,Male,19822.0,1
45,110043.0,723,Male,25671.0,1
63,83225.0,832,Female,26412.0,1
30,82290.0,800,Male,45352.0,1
47,72971.0,724,Male,36920.0,1
41,65149.0,723,Female,13607.0,0
61,63058.0,811,Female,25266.0,1
31,119701.0,792,Male,37092.0,1
40,81779.0,796,Female,37574.0,0
24,83993.0,766,Female,41041.0,0
45,78335.0,743,Male,42704.0,1
26,87079.0,818,Male,33975.0,1
24,104277.0,700,Female,62335.0,1
48,82828.0,812,Male,49034.0,0
37,99518.0,656,Female,55020.0,0
36,130455.0,740,Male,56089.0,0
56,74508.0,689,Male,26764.0,0
33,84013.0,773,Male,29048.0,1
62,111027.0,749,Male,22744.0,1
47,132432.0,678,Male,39686.0,0
55,63942.0,843,Male,31173.0,1
44,52480.0,737,Female,23167.0,0
52,94985.0,752,Female,53815.0,1
41,92403.0,656,Female,20330.0,1
33,112504.0,650,Female,29489.0,0
44,108689.0,823,Male,56051.0,0
25,94151.0,718,Female,32332.0,1
44,121230.0,713,Male,29985.0,0
22,77975.0,795,Female,46674.0,1
46,100290.0,625,Female,51639.0,0
23,64607.0,634,Female,23485.0,0
51,93947.0,762,Female,49730.0,1
24,58472.0,808,Female,27613.0,0
42,67104.0,635,Male,34625.0,0
46,137736.0,639,Male,72461.0,1
41,49387.0,696,Female,11551.0,0
43,89584.0,663,Male,40240.0,1
42,115680.0,789,Female,23450.0,0
54,150534.0,665,Female,32723.0,0
59,99427.0,714,Male,55837.0,1
36,100856.0,781,Female,41454.0,0
36,95992.0,683,Female,47455.0,1
46,121431.0,776,Female,65014.0,0
42,105793.0,750,Female,61342.0,0
45,80623.0,628,Female,44160.0,0
26,122888.0,822,Female,48335.0,1
27,83445.0,822,Female,27903.0,0
64,55038.0,772,Male,14409.0,1
44,55117.0,833,Male,19849.0,1
25,89973.0,661,Female,31185.0,0
48,97576.0,793,Male,41356.0,1
39,118891.0,692,Female,55427.0,1
42,111020.0,703,Female,65650.0,0
49,96996.0,678,Male,47660.0,1
56,120288.0,640,Female,55032.0,0
43,95318.0,821,Female,31840.0,0
61,62738.0,769,Male,13413.0,1
44,57289.0,776,Male,18060.0,0
24,126967.0,682,Male,64421.0,0
61,38869.0,692,Male,10965.0,1
31,89981.0,680,Female,43630.0,0
46,169545.0,683,Male,73228.0,1
29,106481.0,688,Female,28616.0,1
32,89786.0,787,Male,27353.0,1
26,52888.0,822,Male,21077.0,1
58,135434.0,748,Female,49752.0,1
59,125346.0,725,Female,64105.0,0
50,112120.0,684,Male,55361.0,0
26,94986.0,741,Male,40828.0,0
30,109300.0,681,Male,57810.0,0
23,91284.0,801,Male,38802.0,0
22,70668.0,722,Female,41394.0,0
61,118908.0,679,Male,34114.0,1
51,93734.0,665,Male,45522.0,1
32,108049.0,624,Male,37598.0,1
49,91972.0,732,Female,28657.0,0
33,106545.0,769,Female,28997.0,1
60,94638.0,837,Male,39843.0,1
47,92686.0,800,Female,26526.0,1
34,95750.0,689,Male,26823.0,0
29,169022.0,779,Male,100773.0,0
49,115060.0,630,Female,59912.0,0
51,159651.0,757,Female,79716.0,1
30,94797.0,786,Female,49069.0,1
60,87274.0,717,Female,51279.0,1
52,68145.0,650,Male,29255.0,1
42,135081.0,631,Female,38916.0,1
55,72370.0,727,Male,39433.0,0
52,140239.0,699,Female,69712.0,0
46,69595.0,785,Male,25453.0,1
33,117166.0,686,Female,45628.0,1
22,55225.0,813,Male,20129.0,1
43,83951.0,671,Male,48018.0,0
61,95552.0,752,Female,32240.0,1
58,80063.0,758,Male,46868.0,1
22,90767.0,644,Female,51202.0,1
22,90886.0,654,Male,41100.0,1
63,115173.0,782,Male,49747.0,1
63,42831.0,641,Male,14907.0,1
42,80927.0,784,Male,16779.0,1
36,126366.0,833,Female,31724.0,0
38,109062.0,802,Male,54716.0,1
43,126782.0,822,Female,49270.0,0
59,113970.0,715,Female,29625.0,0
56,67912.0,846,Male,20753.0,0
37,111522.0,842,Female,64587.0,0
29,97505.0,736,Female,33820.0,1
