PassengerId,Pclass,Sex,Age,Fare,PassengerId_plus_Survived,Survived
1,3,male,1.0,20.39,1,0
2,3,male,56.5,55.17,1002,1
3,2,female,12.3,19.67,1003,1
4,3,female,9.3,14.17,4,0
5,3,female,41.3,21.81,5,0
6,1,female,58.3,56.37,6,0
7,3,female,45.6,13.06,7,0
8,3,female,35.8,6.11,1008,1
9,3,male,36.1,39.83,1009,1
10,3,male,39.2,55.95,1010,1
11,3,male,38.1,3.39,11,0
12,2,female,32.4,8.78,1012,1
13,3,female,30.3,4.9,1013,1
14,3,male,28.2,13.68,14,0
15,1,female,20.0,19.15,15,0
16,1,female,25.6,44.21,16,0
17,2,male,8.7,33.7,17,0
18,3,male,27.8,31.04,18,0
19,3,female,17.1,13.9,19,0
20,1,male,15.8,58.93,20,0
21,3,female,31.2,20.39,1021,1
22,2,male,45.7,123.78,22,0
23,3,female,40.0,32.18,23,0
24,3,female,10.2,4.32,24,0
25,3,female,17.1,36.08,25,0
26,2,male,40.3,12.58,1026,1
27,2,female,17.2,37.1,27,0
28,2,female,26.3,2.31,28,0
29,1,male,35.6,6.15,29,0
30,3,female,17.4,61.96,30,0
31,3,male,30.3,8.25,1031,1
32,3,male,13.0,58.06,32,0
33,3,male,21.8,10.48,33,0
34,3,male,32.8,32.95,1034,1
35,3,male,9.9,37.91,1035,1
36,3,female,34.3,23.0,1036,1
37,3,male,28.8,11.66,37,0
38,1,female,35.6,7.65,38,0
39,2,male,31.7,1.08,1039,1
40,1,male,45.4,11.59,40,0
41,3,male,30.5,33.88,41,0
42,3,female,23.8,89.14,42,0
43,1,male,30.5,65.58,43,0
44,3,female,35.5,46.49,1044,1
45,3,female,29.6,49.71,45,0
46,2,female,29.5,34.99,1046,1
47,1,male,20.6,9.65,47,0
48,3,male,21.0,76.07,48,0
49,3,female,12.2,35.55,49,0
50,3,male,50.0,26.3,50,0
51,3,female,14.1,3.76,1051,1
52,3,male,20.7,18.96,1052,1
53,3,female,20.4,19.74,1053,1
54,3,female,39.7,63.98,1054,1
55,3,female,25.5,25.31,55,0
56,2,male,44.0,15.32,1056,1
57,1,female,20.9,120.44,57,0
58,1,male,32.3,3.76,58,0
59,3,male,19.0,17.57,59,0
60,3,female,54.7,1.37,60,0
61,3,female,14.7,43.09,61,0
62,1,female,32.7,80.06,62,0
63,1,female,36.6,10.51,1063,1
64,1,male,34.0,62.54,64,0
65,2,male,26.8,11.06,65,0
66,3,female,27.4,77.33,66,0
67,2,male,29.5,44.87,67,0
68,2,male,27.2,52.3,1068,1
69,3,male,40.6,0.58,69,0
70,2,male,55.5,105.34,1070,1
71,3,male,22.3,41.51,1071,1
72,3,male,12.6,11.63,72,0
73,2,male,27.9,56.59,73,0
74,3,male,60.0,10.58,1074,1
75,3,female,19.4,65.97,1075,1
76,3,male,48.7,3.82,1076,1
77,1,male,49.1,38.92,1077,1
78,3,female,22.4,24.9,78,0
79,2,male,35.8,3.25,79,0
80,2,female,48.5,8.86,80,0
81,2,female,24.5,0.4,1081,1
82,3,male,26.6,20.24,1082,1
83,2,male,22.0,11.47,83,0
84,2,female,16.8,29.19,84,0
85,3,female,21.2,11.29,85,0
86,1,male,14.3,11.41,86,0
87,1,female,29.4,43.5,1087,1
88,1,male,19.8,1.58,1088,1
89,1,female,31.8,74.62,1089,1
90,1,male,10.3,61.19,90,0
91,1,female,33.0,35.27,91,0
92,3,female,39.0,28.78,1092,1
93,1,female,5.1,71.31,1093,1
94,2,male,33.5,6.56,94,0
95,3,male,43.7,2.63,1095,1
96,2,male,14.5,8.76,96,0
97,3,male,49.1,50.65,97,0
98,1,male,34.0,1.13,98,0
99,1,female,20.5,27.97,99,0
100,1,male,28.3,172.48,100,0
101,1,male,35.7,61.95,101,0
102,2,female,29.9,23.58,1102,1
103,1,female,35.5,2.1,103,0
104,1,female,18.0,56.96,104,0
105,1,female,31.0,29.24,1105,1
106,2,male,12.0,3.91,106,0
107,1,male,27.7,3.15,107,0
108,2,female,18.2,76.92,1108,1
109,3,female,20.2,35.4,109,0
110,3,male,43.8,56.57,110,0
111,1,female,42.1,67.58,111,0
